id,latitude,longitude,station_name,total_docks
2,41.872638,-87.623979,Michigan Ave & Balbo Ave,35
3,41.867225957,-87.61535539,Shedd Aquarium,31
4,41.856268,-87.613348,Burnham Harbor,23
5,41.874053,-87.627716,State St & Harrison St,23
6,41.885041992,-87.612794539,Dusable Harbor,31
7,41.886349063,-87.617516547,Field Blvd & South Water St,19
9,41.82879202,-87.680604459,Leavitt St & Archer Ave,19
11,41.766638237,-87.576450114,Jeffery Blvd & 71st St,11
12,41.766409457,-87.565687572,South Shore Dr & 71st St,15
13,41.932418,-87.652705,Wilton Ave & Diversey Pkwy,27
14,41.858086,-87.651073,Morgan St & 18th St,15
15,41.858166,-87.656495,Racine Ave & 18th St,15
16,41.910337,-87.670072,Paulina Ave & North Ave,15
17,41.90332,-87.67273,Wood St & Division St,15
18,41.883271593,-87.637313287,Wacker Dr & Washington St,19
19,41.869417,-87.660996,Loomis St & Taylor St (*),16
20,41.910522,-87.653106,Sheffield Ave & Kingsbury St,15
21,41.87772613,-87.65478743,Aberdeen St & Jackson Blvd,15
22,41.8694821,-87.6554864,May St & Taylor St,15
23,41.902924,-87.637715,Orleans St & Elm St (*),16
24,41.89186,-87.62062,Fairbanks Ct & Grand Ave,15
25,41.89766,-87.62351,Michigan Ave & Pearson St,23
26,41.89102,-87.6173,McClurg Ct & Illinois St,31
27,41.91021,-87.6435,Larrabee St & North Ave,19
28,41.91468,-87.64332,Larrabee St & Menomonee St,15
29,41.90068,-87.6626,Noble St & Milwaukee Ave,15
30,41.899643,-87.6677,Ashland Ave & Augusta Blvd,15
31,41.896776,-87.635633,Franklin St & Chicago Ave,23
32,41.87464,-87.65703,Racine Ave & Congress Pkwy,19
33,41.877181,-87.627844,State St & Van Buren St,27
34,41.926755988,-87.634428785,Cannon Dr & Fullerton Ave,15
35,41.892278,-87.612043,Streeter Dr & Grand Ave,47
36,41.877707956,-87.635321141,Franklin St & Jackson Blvd,31
37,41.879356359,-87.629791036,Dearborn St & Adams St,19
38,41.886020828,-87.630876058,Clark St & Lake St,27
39,41.879472352,-87.625688606,Wabash Ave & Adams St,23
40,41.879344373,-87.631985221,LaSalle St & Adams St,15
41,41.872077633,-87.629543773,Federal St & Polk St,19
