,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2,54.0,18.0,6.0,2.0,2.0,30.0,66.0,234.0,328.0,307.0,523.0,617.0,627.0,714.0,714.0,729.0,771.0,855.0,613.0,548.0,424.0,307.0,140.0,104.0
3,43.0,19.0,3.0,4.0,1.0,10.0,41.0,111.0,179.0,336.0,558.0,1180.0,1710.0,2163.0,2066.0,2432.0,2581.0,1413.0,760.0,538.0,381.0,389.0,366.0,167.0
4,51.0,7.0,5.0,3.0,3.0,17.0,168.0,236.0,396.0,427.0,582.0,817.0,937.0,985.0,1032.0,959.0,1126.0,1508.0,1188.0,876.0,502.0,229.0,126.0,86.0
5,23.0,9.0,11.0,4.0,6.0,20.0,181.0,273.0,532.0,332.0,206.0,235.0,262.0,282.0,219.0,272.0,456.0,642.0,371.0,342.0,263.0,236.0,164.0,83.0
6,66.0,22.0,5.0,2.0,0.0,26.0,93.0,244.0,437.0,462.0,647.0,1095.0,974.0,1132.0,1134.0,1116.0,1164.0,1257.0,995.0,701.0,497.0,405.0,311.0,191.0
7,17.0,2.0,8.0,1.0,30.0,117.0,190.0,546.0,1075.0,556.0,314.0,328.0,347.0,330.0,265.0,317.0,494.0,1047.0,683.0,352.0,186.0,97.0,74.0,30.0
9,2.0,4.0,2.0,1.0,0.0,3.0,121.0,74.0,7.0,5.0,12.0,5.0,14.0,42.0,19.0,27.0,110.0,63.0,11.0,19.0,19.0,19.0,18.0,9.0
11,1.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,7.0,6.0,12.0,38.0,31.0,12.0,8.0,7.0,17.0,6.0,9.0,13.0,4.0,7.0,10.0,3.0
12,3.0,2.0,2.0,1.0,5.0,6.0,8.0,8.0,10.0,28.0,26.0,47.0,57.0,40.0,43.0,39.0,28.0,33.0,44.0,31.0,18.0,21.0,10.0,1.0
13,62.0,21.0,8.0,2.0,3.0,75.0,315.0,376.0,353.0,199.0,245.0,257.0,264.0,347.0,359.0,417.0,777.0,1732.0,1392.0,872.0,527.0,332.0,232.0,172.0
14,27.0,12.0,3.0,9.0,51.0,7.0,33.0,280.0,340.0,190.0,110.0,121.0,146.0,183.0,155.0,171.0,139.0,136.0,96.0,83.0,87.0,81.0,63.0,41.0
15,11.0,5.0,11.0,4.0,2.0,24.0,127.0,411.0,626.0,351.0,179.0,122.0,117.0,92.0,124.0,94.0,328.0,171.0,132.0,126.0,92.0,59.0,62.0,41.0
16,37.0,28.0,7.0,4.0,4.0,124.0,222.0,705.0,641.0,376.0,117.0,152.0,174.0,160.0,141.0,136.0,176.0,481.0,450.0,391.0,210.0,163.0,106.0,68.0
17,34.0,10.0,4.0,0.0,1.0,70.0,149.0,615.0,1090.0,281.0,162.0,175.0,158.0,147.0,177.0,196.0,206.0,388.0,379.0,273.0,225.0,135.0,126.0,87.0
18,16.0,6.0,5.0,6.0,3.0,43.0,201.0,1599.0,4293.0,1133.0,355.0,773.0,921.0,564.0,574.0,819.0,1973.0,1932.0,626.0,320.0,235.0,172.0,203.0,41.0
19,67.0,29.0,9.0,3.0,6.0,83.0,405.0,813.0,642.0,436.0,360.0,300.0,409.0,368.0,357.0,354.0,385.0,621.0,587.0,467.0,297.0,275.0,196.0,124.0
20,43.0,30.0,19.0,12.0,9.0,5.0,130.0,210.0,291.0,246.0,165.0,193.0,283.0,320.0,298.0,380.0,689.0,875.0,753.0,714.0,437.0,267.0,160.0,122.0
21,14.0,3.0,2.0,2.0,131.0,227.0,312.0,506.0,905.0,458.0,264.0,378.0,393.0,403.0,340.0,530.0,719.0,870.0,490.0,430.0,282.0,216.0,95.0,82.0
22,77.0,37.0,16.0,9.0,23.0,66.0,168.0,294.0,791.0,468.0,312.0,272.0,425.0,471.0,525.0,528.0,463.0,607.0,584.0,533.0,404.0,316.0,207.0,147.0
23,4.0,7.0,4.0,3.0,6.0,62.0,141.0,354.0,1050.0,256.0,88.0,87.0,115.0,107.0,72.0,115.0,120.0,206.0,184.0,168.0,151.0,72.0,47.0,17.0
24,61.0,51.0,40.0,17.0,6.0,106.0,296.0,766.0,1531.0,890.0,573.0,550.0,725.0,715.0,701.0,805.0,1894.0,2030.0,1376.0,844.0,593.0,580.0,305.0,171.0
25,44.0,24.0,13.0,6.0,4.0,42.0,58.0,118.0,282.0,240.0,317.0,434.0,508.0,548.0,700.0,637.0,964.0,1256.0,777.0,503.0,392.0,336.0,179.0,83.0
26,96.0,31.0,25.0,24.0,47.0,243.0,988.0,1833.0,1825.0,1170.0,698.0,755.0,856.0,867.0,729.0,876.0,1363.0,1840.0,1440.0,978.0,531.0,440.0,298.0,205.0
27,8.0,1.0,4.0,2.0,17.0,120.0,221.0,387.0,517.0,249.0,154.0,185.0,161.0,134.0,115.0,100.0,114.0,264.0,272.0,168.0,118.0,72.0,44.0,22.0
28,12.0,5.0,1.0,0.0,5.0,24.0,295.0,855.0,853.0,134.0,91.0,118.0,167.0,97.0,102.0,111.0,152.0,326.0,314.0,205.0,153.0,65.0,41.0,25.0
29,16.0,5.0,6.0,6.0,5.0,49.0,273.0,646.0,1678.0,217.0,98.0,145.0,177.0,184.0,218.0,173.0,337.0,585.0,423.0,289.0,181.0,118.0,70.0,32.0
30,9.0,11.0,1.0,2.0,9.0,79.0,346.0,921.0,924.0,221.0,148.0,113.0,120.0,110.0,146.0,109.0,127.0,192.0,265.0,158.0,116.0,76.0,45.0,40.0
31,51.0,30.0,8.0,6.0,48.0,138.0,234.0,879.0,940.0,455.0,389.0,547.0,690.0,515.0,512.0,722.0,1456.0,2238.0,1112.0,634.0,298.0,169.0,120.0,96.0
32,13.0,3.0,6.0,0.0,3.0,37.0,262.0,332.0,561.0,343.0,257.0,402.0,434.0,419.0,425.0,431.0,746.0,597.0,199.0,141.0,116.0,74.0,56.0,23.0
