,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2,65,33,12,2,1,10,57,82,222,231,312,543,668,711,722,793,805,846,763,469,301,273,187,113
3,48,27,6,4,5,9,63,492,794,977,1213,1418,1642,1723,1772,1489,1214,1040,1004,664,403,223,157,55
4,42,5,6,1,2,18,149,282,451,492,631,920,901,921,1052,997,1144,1435,1184,918,451,202,108,68
5,66,13,9,6,4,32,130,170,424,381,183,272,316,272,256,318,489,813,653,385,303,196,114,89
6,43,23,8,5,4,16,79,229,333,335,458,735,795,882,893,1057,1156,1423,876,625,394,237,187,90
7,33,29,11,5,6,42,136,303,567,238,182,305,330,333,287,409,800,1187,727,477,304,204,269,132
9,9,7,6,6,1,4,7,10,12,21,8,11,17,18,13,31,47,197,42,37,19,11,16,24
11,0,3,0,0,0,0,1,4,4,8,8,11,6,6,12,22,27,12,17,12,7,9,8,5
12,7,3,1,0,0,1,1,1,11,8,19,34,45,55,35,47,24,37,54,40,41,33,17,12
13,72,24,18,11,53,410,586,1375,854,406,182,216,273,216,263,259,508,986,856,706,481,311,228,205
14,52,24,15,9,5,8,4,40,30,58,71,95,151,139,338,140,214,375,394,274,228,147,117,108
15,31,20,7,3,2,1,3,18,21,38,53,56,86,98,130,158,230,617,482,333,290,407,112,99
16,51,24,5,6,4,26,31,148,125,177,78,130,153,197,159,205,511,1080,694,419,271,243,146,110
17,34,15,6,6,2,14,102,146,192,144,133,122,146,219,177,276,434,1142,845,509,355,204,159,78
18,18,7,4,2,10,409,616,2022,4209,1817,476,495,747,654,426,368,896,1487,333,188,103,46,56,29
19,106,54,16,9,0,7,23,112,209,264,251,281,426,401,447,533,948,1091,804,594,553,455,280,194
20,5,5,2,7,6,152,612,574,584,291,214,291,292,292,337,324,514,849,771,453,275,208,73,31
21,16,6,4,2,6,77,140,513,763,498,219,300,446,454,437,425,703,1096,837,477,301,180,98,49
22,90,52,23,10,9,7,33,110,162,178,249,336,480,500,506,519,663,1006,871,597,466,403,256,176
23,9,11,2,2,0,4,22,104,167,66,47,107,169,154,135,137,345,819,512,321,157,95,49,43
24,107,45,25,63,2,43,390,842,1371,910,522,642,830,752,714,868,1139,2037,1509,1037,682,493,283,180
25,16,25,12,3,2,10,454,422,887,421,336,409,496,480,479,561,622,774,590,456,352,242,140,87
26,102,50,35,7,23,37,127,623,709,547,442,729,979,1087,975,1310,2146,2929,1948,1317,848,528,385,250
27,22,11,6,4,1,8,42,42,123,124,81,67,104,137,140,174,322,669,464,333,218,147,96,74
28,35,17,1,2,0,6,35,80,61,50,51,96,132,110,149,196,413,1073,720,383,254,191,128,69
29,34,8,11,5,3,24,107,213,618,149,108,114,150,141,240,195,421,1182,810,488,265,183,139,65
30,45,24,4,5,3,11,39,100,203,81,62,70,93,122,146,175,465,1074,684,329,230,182,99,72
31,38,23,2,14,11,246,465,1777,1951,805,322,420,620,543,496,571,656,1169,821,513,274,209,156,135
32,10,6,13,0,0,4,59,168,751,258,240,315,424,496,558,470,504,680,469,199,102,82,51,29
33,43,18,13,7,10,108,470,1089,1670,768,457,551,617,714,565,452,692,1024,612,291,247,172,149,128
34,18,10,9,2,5,21,30,102,98,93,215,289,341,382,385,440,376,662,598,396,224,105,73,60
35,152,89,48,14,18,88,453,993,1236,1508,2690,4111,4779,5033,5568,5861,5668,5913,4360,3062,1945,1132,536,308
36,44,41,244,16,87,233,801,2409,4212,1771,527,570,698,816,564,666,1183,1640,521,426,363,184,125,94
37,24,8,1,8,8,92,876,1902,2736,1367,570,748,903,720,568,566,685,858,361,198,107,94,89,35
38,41,13,14,8,10,56,447,1343,2937,1237,410,496,551,583,401,485,708,1016,643,487,398,263,149,102
39,25,32,9,6,12,160,706,1584,2232,468,288,453,608,527,477,329,397,598,321,239,179,102,103,75
40,31,13,11,3,9,222,515,1589,4542,2432,614,505,595,527,292,290,304,403,110,82,45,58,51,38
41,39,22,7,4,10,93,119,147,307,187,206,679,814,573,400,602,1352,1850,1087,744,506,309,210,108
42,8,12,3,0,0,13,27,146,205,208,64,63,89,115,89,137,176,304,247,154,112,55,49,25
