,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2,42.0,28.0,19.0,10.0,2.0,8.0,25.0,52.0,156.0,263.0,400.0,523.0,578.0,593.0,551.0,607.0,642.0,519.0,460.0,352.0,222.0,197.0,143.0,141.0
3,21.0,25.0,23.0,9.0,4.0,12.0,19.0,72.0,137.0,277.0,438.0,1063.0,1477.0,1750.0,1897.0,1956.0,1821.0,1229.0,746.0,462.0,294.0,176.0,210.0,228.0
4,24.0,6.0,7.0,1.0,1.0,8.0,32.0,105.0,189.0,339.0,550.0,821.0,1014.0,1168.0,1059.0,1104.0,1088.0,950.0,775.0,575.0,314.0,166.0,79.0,81.0
5,35.0,11.0,6.0,6.0,1.0,7.0,3.0,27.0,47.0,72.0,113.0,156.0,234.0,183.0,171.0,165.0,111.0,116.0,94.0,94.0,77.0,75.0,71.0,41.0
6,59.0,31.0,10.0,10.0,2.0,7.0,31.0,100.0,177.0,389.0,728.0,982.0,1076.0,1148.0,1129.0,1222.0,1127.0,1105.0,749.0,538.0,345.0,196.0,209.0,102.0
7,8.0,13.0,9.0,6.0,6.0,31.0,49.0,59.0,144.0,255.0,275.0,287.0,304.0,243.0,316.0,235.0,223.0,202.0,180.0,111.0,71.0,34.0,38.0,28.0
9,6.0,4.0,3.0,0.0,2.0,5.0,2.0,0.0,8.0,5.0,8.0,14.0,8.0,8.0,8.0,12.0,13.0,10.0,10.0,16.0,8.0,7.0,6.0,5.0
11,0.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,7.0,27.0,17.0,11.0,10.0,4.0,5.0,8.0,4.0,5.0,2.0,5.0,3.0,1.0
12,1.0,3.0,0.0,1.0,0.0,2.0,6.0,10.0,12.0,13.0,16.0,23.0,27.0,33.0,53.0,30.0,22.0,19.0,14.0,13.0,11.0,7.0,5.0,4.0
13,82.0,37.0,29.0,7.0,4.0,4.0,35.0,29.0,80.0,193.0,205.0,279.0,292.0,313.0,272.0,271.0,253.0,212.0,219.0,134.0,114.0,90.0,66.0,67.0
14,13.0,11.0,7.0,3.0,0.0,1.0,9.0,8.0,40.0,43.0,52.0,58.0,98.0,90.0,86.0,89.0,82.0,69.0,48.0,32.0,29.0,28.0,19.0,18.0
15,26.0,19.0,7.0,9.0,2.0,6.0,10.0,21.0,36.0,68.0,89.0,112.0,120.0,95.0,95.0,100.0,80.0,50.0,65.0,69.0,30.0,30.0,31.0,22.0
16,32.0,35.0,18.0,6.0,5.0,8.0,13.0,47.0,97.0,101.0,198.0,238.0,201.0,165.0,180.0,164.0,177.0,117.0,141.0,103.0,68.0,64.0,59.0,37.0
17,43.0,33.0,10.0,2.0,3.0,3.0,7.0,43.0,57.0,106.0,164.0,190.0,189.0,190.0,165.0,145.0,155.0,156.0,132.0,102.0,59.0,60.0,76.0,43.0
18,12.0,7.0,2.0,5.0,2.0,0.0,9.0,12.0,29.0,43.0,100.0,75.0,96.0,86.0,98.0,133.0,113.0,108.0,74.0,81.0,38.0,29.0,45.0,8.0
19,39.0,24.0,8.0,12.0,6.0,6.0,59.0,49.0,94.0,129.0,97.0,171.0,175.0,163.0,145.0,167.0,154.0,136.0,164.0,158.0,99.0,70.0,59.0,36.0
20,51.0,16.0,26.0,21.0,11.0,4.0,1.0,10.0,31.0,113.0,168.0,242.0,249.0,265.0,292.0,327.0,302.0,243.0,227.0,153.0,73.0,59.0,62.0,29.0
21,5.0,10.0,4.0,1.0,0.0,20.0,12.0,9.0,44.0,94.0,138.0,165.0,187.0,182.0,152.0,114.0,136.0,105.0,95.0,95.0,96.0,66.0,34.0,16.0
22,55.0,23.0,22.0,14.0,11.0,13.0,29.0,43.0,51.0,75.0,112.0,169.0,174.0,169.0,187.0,219.0,181.0,196.0,192.0,191.0,111.0,96.0,58.0,50.0
23,4.0,5.0,7.0,0.0,2.0,7.0,6.0,23.0,62.0,57.0,57.0,95.0,102.0,79.0,68.0,76.0,71.0,37.0,45.0,24.0,14.0,16.0,4.0,3.0
24,60.0,39.0,29.0,9.0,7.0,13.0,31.0,77.0,145.0,252.0,320.0,408.0,413.0,443.0,444.0,425.0,472.0,408.0,385.0,314.0,222.0,175.0,115.0,96.0
25,38.0,38.0,1.0,17.0,5.0,11.0,13.0,28.0,64.0,134.0,241.0,233.0,312.0,357.0,324.0,383.0,416.0,388.0,347.0,299.0,231.0,156.0,125.0,72.0
26,112.0,87.0,39.0,15.0,14.0,20.0,68.0,167.0,302.0,498.0,652.0,803.0,807.0,840.0,790.0,783.0,722.0,669.0,494.0,415.0,328.0,233.0,196.0,148.0
27,19.0,13.0,10.0,3.0,1.0,4.0,9.0,21.0,57.0,84.0,112.0,101.0,105.0,124.0,125.0,115.0,94.0,75.0,68.0,49.0,27.0,19.0,14.0,11.0
28,13.0,6.0,1.0,3.0,0.0,3.0,7.0,19.0,39.0,83.0,151.0,153.0,175.0,158.0,138.0,152.0,120.0,96.0,119.0,93.0,45.0,29.0,12.0,12.0
29,32.0,13.0,13.0,6.0,1.0,14.0,46.0,26.0,101.0,125.0,169.0,190.0,200.0,213.0,219.0,191.0,166.0,140.0,144.0,75.0,70.0,56.0,42.0,30.0
30,20.0,8.0,0.0,4.0,2.0,4.0,12.0,24.0,71.0,93.0,126.0,147.0,151.0,121.0,114.0,78.0,89.0,89.0,71.0,71.0,29.0,28.0,26.0,19.0
31,53.0,38.0,31.0,13.0,9.0,13.0,9.0,21.0,73.0,131.0,210.0,254.0,227.0,213.0,211.0,169.0,190.0,145.0,159.0,102.0,86.0,59.0,58.0,47.0
32,16.0,4.0,4.0,3.0,1.0,1.0,9.0,8.0,14.0,30.0,56.0,60.0,60.0,38.0,50.0,64.0,53.0,40.0,39.0,28.0,24.0,31.0,14.0,10.0
33,25.0,10.0,13.0,10.0,4.0,6.0,7.0,25.0,58.0,123.0,142.0,143.0,171.0,220.0,219.0,251.0,290.0,180.0,166.0,128.0,96.0,60.0,75.0,68.0
34,15.0,6.0,7.0,6.0,5.0,0.0,18.0,20.0,49.0,82.0,174.0,345.0,403.0,503.0,507.0,543.0,451.0,333.0,226.0,141.0,75.0,35.0,11.0,10.0
35,204.0,73.0,63.0,10.0,29.0,25.0,71.0,213.0,502.0,1006.0,1796.0,2882.0,4100.0,4674.0,5080.0,5305.0,4968.0,4435.0,3584.0,2518.0,1600.0,915.0,770.0,396.0
36,20.0,16.0,8.0,1.0,5.0,13.0,37.0,66.0,37.0,171.0,249.0,258.0,311.0,344.0,280.0,262.0,275.0,217.0,266.0,191.0,197.0,144.0,79.0,39.0
37,25.0,21.0,11.0,1.0,4.0,3.0,16.0,31.0,62.0,105.0,150.0,162.0,164.0,191.0,147.0,187.0,200.0,126.0,161.0,115.0,64.0,51.0,50.0,35.0
38,46.0,19.0,33.0,14.0,6.0,7.0,24.0,32.0,87.0,170.0,166.0,198.0,281.0,254.0,302.0,246.0,239.0,213.0,171.0,135.0,109.0,101.0,94.0,84.0
39,64.0,20.0,11.0,7.0,1.0,0.0,8.0,18.0,35.0,81.0,124.0,149.0,164.0,174.0,176.0,200.0,191.0,177.0,137.0,94.0,101.0,71.0,94.0,52.0
40,16.0,10.0,12.0,1.0,0.0,2.0,4.0,25.0,44.0,81.0,75.0,73.0,86.0,85.0,69.0,76.0,80.0,77.0,72.0,47.0,43.0,43.0,20.0,36.0
41,26.0,16.0,6.0,11.0,2.0,17.0,30.0,72.0,139.0,182.0,253.0,265.0,291.0,259.0,196.0,194.0,201.0,187.0,142.0,124.0,85.0,51.0,65.0,34.0
42,13.0,6.0,5.0,0.0,0.0,7.0,28.0,27.0,21.0,29.0,40.0,74.0,60.0,36.0,67.0,36.0,51.0,38.0,36.0,26.0,28.0,11.0,11.0,11.0
43,71.0,59.0,25.0,13.0,14.0,6.0,17.0,59.0,167.0,327.0,351.0,456.0,446.0,485.0,581.0,486.0,445.0,367.0,358.0,273.0,207.0,168.0,133.0,80.0
44,76.0,31.0,26.0,18.0,2.0,5.0,10.0,55.0,82.0,126.0,188.0,241.0,317.0,265.0,282.0,304.0,325.0,304.0,268.0,214.0,184.0,120.0,140.0,113.0
45,30.0,10.0,15.0,1.0,3.0,9.0,18.0,65.0,118.0,146.0,210.0,244.0,222.0,237.0,246.0,167.0,202.0,216.0,203.0,124.0,100.0,119.0,64.0,53.0
46,14.0,10.0,22.0,5.0,5.0,6.0,10.0,43.0,75.0,89.0,125.0,121.0,145.0,141.0,137.0,106.0,136.0,116.0,86.0,56.0,50.0,45.0,17.0,19.0
47,103.0,59.0,56.0,42.0,17.0,11.0,20.0,39.0,104.0,161.0,323.0,277.0,333.0,310.0,332.0,320.0,313.0,246.0,280.0,165.0,124.0,126.0,126.0,107.0
48,17.0,4.0,4.0,4.0,1.0,5.0,34.0,42.0,70.0,98.0,138.0,158.0,166.0,162.0,172.0,142.0,148.0,103.0,95.0,70.0,39.0,24.0,21.0,24.0
49,53.0,17.0,18.0,7.0,6.0,5.0,6.0,38.0,61.0,108.0,142.0,258.0,261.0,246.0,264.0,266.0,339.0,284.0,217.0,173.0,106.0,120.0,114.0,82.0
50,22.0,3.0,0.0,2.0,1.0,2.0,2.0,25.0,19.0,56.0,68.0,132.0,97.0,136.0,83.0,89.0,78.0,62.0,42.0,47.0,38.0,17.0,24.0,19.0
51,31.0,12.0,7.0,4.0,1.0,10.0,21.0,27.0,59.0,125.0,147.0,183.0,194.0,207.0,204.0,162.0,160.0,151.0,156.0,124.0,108.0,84.0,64.0,33.0
52,84.0,73.0,27.0,6.0,6.0,9.0,32.0,96.0,107.0,190.0,264.0,388.0,345.0,367.0,409.0,375.0,299.0,319.0,326.0,205.0,219.0,233.0,146.0,157.0
53,58.0,34.0,29.0,19.0,14.0,10.0,44.0,43.0,73.0,221.0,207.0,237.0,285.0,271.0,219.0,184.0,212.0,135.0,154.0,127.0,115.0,70.0,64.0,64.0
