,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2,55.0,21.0,42.0,17.0,1.0,15.0,23.0,34.0,83.0,211.0,304.0,442.0,466.0,544.0,559.0,719.0,650.0,636.0,456.0,340.0,264.0,175.0,160.0,152.0
3,33.0,35.0,11.0,4.0,6.0,13.0,20.0,56.0,199.0,610.0,883.0,1374.0,1396.0,1416.0,1606.0,1572.0,1340.0,950.0,775.0,507.0,368.0,156.0,109.0,77.0
4,20.0,10.0,7.0,1.0,1.0,13.0,39.0,144.0,229.0,419.0,630.0,852.0,1054.0,1141.0,1126.0,1036.0,1072.0,917.0,736.0,566.0,290.0,133.0,72.0,39.0
5,42.0,17.0,12.0,17.0,3.0,12.0,20.0,24.0,32.0,56.0,83.0,108.0,153.0,145.0,150.0,166.0,167.0,149.0,173.0,126.0,101.0,78.0,65.0,51.0
6,38.0,15.0,10.0,9.0,4.0,10.0,29.0,122.0,211.0,337.0,524.0,749.0,901.0,930.0,971.0,1017.0,963.0,1005.0,626.0,442.0,330.0,162.0,146.0,94.0
7,23.0,26.0,12.0,10.0,1.0,15.0,8.0,27.0,74.0,90.0,134.0,184.0,237.0,197.0,250.0,275.0,264.0,264.0,202.0,167.0,116.0,68.0,67.0,61.0
9,0.0,3.0,2.0,1.0,3.0,5.0,4.0,2.0,3.0,9.0,3.0,9.0,15.0,15.0,12.0,4.0,8.0,4.0,9.0,11.0,7.0,10.0,4.0,9.0
11,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,8.0,1.0,4.0,6.0,5.0,10.0,9.0,10.0,9.0,4.0,5.0,1.0,7.0,3.0,1.0
12,3.0,5.0,0.0,1.0,0.0,1.0,0.0,4.0,6.0,13.0,10.0,22.0,24.0,38.0,34.0,39.0,32.0,15.0,17.0,24.0,16.0,14.0,4.0,6.0
13,70.0,41.0,34.0,16.0,20.0,40.0,44.0,68.0,140.0,167.0,214.0,270.0,250.0,248.0,200.0,246.0,278.0,271.0,215.0,158.0,119.0,65.0,39.0,47.0
14,26.0,16.0,13.0,12.0,8.0,1.0,4.0,0.0,10.0,17.0,36.0,66.0,90.0,87.0,75.0,64.0,86.0,89.0,58.0,50.0,52.0,47.0,52.0,44.0
15,22.0,12.0,7.0,9.0,6.0,2.0,1.0,6.0,12.0,32.0,65.0,62.0,84.0,77.0,96.0,56.0,86.0,82.0,72.0,79.0,51.0,64.0,33.0,33.0
16,61.0,45.0,18.0,9.0,5.0,3.0,3.0,20.0,46.0,89.0,119.0,108.0,168.0,194.0,224.0,206.0,167.0,163.0,150.0,118.0,78.0,79.0,54.0,48.0
17,30.0,21.0,15.0,6.0,6.0,2.0,3.0,16.0,38.0,86.0,108.0,126.0,166.0,200.0,190.0,185.0,191.0,175.0,150.0,124.0,76.0,58.0,54.0,33.0
18,18.0,12.0,2.0,4.0,2.0,0.0,11.0,29.0,40.0,71.0,113.0,84.0,109.0,79.0,102.0,85.0,91.0,53.0,63.0,45.0,28.0,23.0,19.0,7.0
19,74.0,34.0,16.0,3.0,11.0,4.0,15.0,27.0,37.0,51.0,87.0,101.0,158.0,181.0,132.0,179.0,168.0,169.0,169.0,186.0,185.0,157.0,79.0,56.0
20,2.0,1.0,2.0,1.0,1.0,2.0,13.0,83.0,95.0,207.0,266.0,308.0,303.0,295.0,343.0,315.0,276.0,228.0,175.0,145.0,76.0,43.0,30.0,11.0
21,26.0,17.0,7.0,3.0,1.0,0.0,3.0,10.0,39.0,112.0,108.0,134.0,177.0,158.0,138.0,100.0,170.0,144.0,143.0,112.0,96.0,67.0,38.0,17.0
22,49.0,24.0,31.0,12.0,4.0,2.0,4.0,10.0,43.0,58.0,80.0,117.0,151.0,176.0,169.0,165.0,212.0,180.0,217.0,167.0,125.0,143.0,79.0,62.0
23,13.0,6.0,4.0,2.0,1.0,0.0,2.0,12.0,16.0,37.0,108.0,76.0,77.0,84.0,72.0,90.0,51.0,55.0,62.0,42.0,37.0,24.0,15.0,19.0
24,75.0,51.0,38.0,29.0,9.0,11.0,21.0,45.0,90.0,178.0,235.0,345.0,425.0,556.0,520.0,535.0,494.0,546.0,478.0,347.0,248.0,212.0,141.0,95.0
25,55.0,47.0,6.0,6.0,10.0,3.0,21.0,23.0,39.0,111.0,150.0,233.0,270.0,343.0,341.0,338.0,406.0,352.0,329.0,249.0,193.0,119.0,75.0,31.0
26,110.0,82.0,33.0,20.0,19.0,16.0,47.0,66.0,119.0,325.0,426.0,668.0,733.0,782.0,809.0,917.0,870.0,802.0,584.0,448.0,370.0,302.0,218.0,157.0
27,34.0,21.0,29.0,16.0,8.0,1.0,6.0,1.0,33.0,42.0,68.0,91.0,115.0,85.0,122.0,123.0,123.0,88.0,78.0,63.0,32.0,54.0,22.0,36.0
28,49.0,17.0,21.0,6.0,1.0,0.0,2.0,5.0,20.0,42.0,75.0,82.0,103.0,131.0,121.0,136.0,161.0,137.0,129.0,83.0,65.0,44.0,36.0,36.0
29,64.0,18.0,14.0,5.0,3.0,2.0,4.0,13.0,27.0,82.0,109.0,142.0,146.0,195.0,195.0,189.0,138.0,147.0,135.0,106.0,87.0,70.0,74.0,61.0
30,37.0,16.0,8.0,5.0,1.0,0.0,4.0,3.0,13.0,24.0,61.0,81.0,85.0,89.0,100.0,97.0,100.0,102.0,81.0,75.0,50.0,45.0,52.0,41.0
31,23.0,13.0,16.0,2.0,1.0,14.0,9.0,42.0,101.0,168.0,197.0,219.0,231.0,172.0,181.0,207.0,173.0,171.0,155.0,118.0,110.0,99.0,33.0,51.0
32,15.0,5.0,2.0,2.0,0.0,1.0,3.0,14.0,16.0,40.0,36.0,33.0,46.0,47.0,42.0,33.0,37.0,64.0,47.0,34.0,16.0,25.0,12.0,16.0
33,46.0,20.0,17.0,6.0,0.0,21.0,21.0,43.0,50.0,97.0,151.0,159.0,199.0,239.0,213.0,231.0,232.0,143.0,155.0,115.0,108.0,82.0,88.0,69.0
34,19.0,15.0,8.0,10.0,11.0,5.0,14.0,51.0,67.0,102.0,198.0,380.0,442.0,418.0,455.0,503.0,324.0,278.0,216.0,132.0,89.0,56.0,26.0,14.0
35,156.0,90.0,61.0,21.0,33.0,37.0,101.0,241.0,542.0,1164.0,2323.0,3476.0,5002.0,5698.0,5667.0,5880.0,5550.0,4878.0,3817.0,2556.0,1565.0,832.0,471.0,295.0
36,30.0,25.0,33.0,12.0,5.0,5.0,8.0,38.0,64.0,122.0,186.0,207.0,247.0,235.0,212.0,237.0,250.0,232.0,229.0,179.0,130.0,95.0,66.0,54.0
37,10.0,25.0,3.0,2.0,3.0,3.0,10.0,32.0,42.0,88.0,101.0,138.0,181.0,193.0,167.0,187.0,172.0,187.0,146.0,94.0,64.0,74.0,55.0,58.0
38,46.0,22.0,16.0,6.0,2.0,4.0,14.0,38.0,112.0,108.0,159.0,155.0,225.0,215.0,258.0,233.0,260.0,233.0,225.0,187.0,116.0,103.0,68.0,43.0
39,31.0,22.0,9.0,5.0,1.0,12.0,43.0,34.0,66.0,71.0,125.0,153.0,186.0,178.0,154.0,167.0,165.0,134.0,91.0,91.0,79.0,57.0,54.0,89.0
40,22.0,5.0,12.0,4.0,0.0,2.0,14.0,27.0,43.0,45.0,54.0,71.0,49.0,83.0,91.0,82.0,85.0,59.0,63.0,52.0,49.0,40.0,12.0,26.0
41,37.0,37.0,18.0,13.0,5.0,0.0,12.0,18.0,69.0,101.0,190.0,154.0,245.0,225.0,232.0,223.0,248.0,244.0,232.0,183.0,148.0,82.0,57.0,65.0
42,8.0,6.0,4.0,1.0,0.0,5.0,1.0,11.0,12.0,28.0,51.0,69.0,54.0,59.0,50.0,49.0,56.0,55.0,53.0,30.0,40.0,11.0,10.0,14.0
