id,address,docks_in_service,latitude,longitude,station_name,total_docks,num_trips_to,num_trips_from
2,Buckingham Fountain,26,41.876393,-87.620328,Buckingham Fountain,27,14590,15266
3,Shedd Aquarium,55,41.867225957,-87.61535539,Shedd Aquarium,55,29958,31797
4,Burnham Harbor,23,41.856268,-87.613348,Burnham Harbor,23,22927,22722
5,620 S. State St.,22,41.874053,-87.627716,State St & Harrison St,23,7844,7340
6,Dusable Harbor,38,41.885041,-87.612794,Dusable Harbor,39,20528,24448
7,Field Blvd & South Water St,19,41.886349063,-87.617516547,Field Blvd & South Water St,19,10088,10533
9,NA1,19,41.82879202,-87.680604459,Leavitt St & Archer Ave,19,726,774
11,Jeffery Blvd & 71st St,11,41.766638237,-87.576450114,Jeffery Blvd & 71st St,11,275,323
12,MLSW,15,41.766409457,-87.565687572,South Shore Dr & 71st St,15,854,836
13,2790 N.Wilton Ave,25,41.932418,-87.652705,Wilton Ave & Diversey Pkwy,27,12759,12626
14,962 W. 18th St,14,41.858086,-87.651073,Morgan St & 18th St,15,4039,3497
15,1726 S Racine Ave,13,41.858166,-87.656495,Racine Ave & 18th St,15,4344,4503
16,1575 N Paulina Ave,15,41.910337,-87.670072,Paulina Ave & North Ave,15,7168,7347
17,W. Divison St,22,41.903119,-87.673935,Honore St & Division St,23,7519,7221
18,Wacker Dr & Washington St,19,41.883132,-87.637321,Wacker Dr & Washington St,19,16508,18018
19,Loomis St & Taylor St (*),16,41.869417,-87.660996,Loomis St & Taylor St (*),16,10337,9813
20,Sheffield Ave & Kingsbury St,15,41.910522,-87.653106,Sheffield Ave & Kingsbury St,15,10383,9626
21,1103 W.Jackson Blvd,15,41.87772613,-87.65478743,Aberdeen St & Jackson Blvd,15,9867,9832
22,1134 W. Taylor St,15,41.8694821,-87.6554864,May St & Taylor St,15,9982,10184
23,350 W. Elm st,16,41.902924,-87.637715,Orleans St & Elm St (*),16,4382,4300
24,240 E.Grand Ave.,14,41.89186,-87.62062,Fairbanks Ct & Grand Ave,15,21210,20928
25,150 E.Pearson st,23,41.89766,-87.62351,Michigan Ave & Pearson St,23,12026,12698
26,McClurg Ct & Illinois St,30,41.890359,-87.617532,McClurg Ct & Illinois St,31,27056,27360
27,1530 N.Larrabee st,19,41.91021,-87.6435,Larrabee St & North Ave,19,4700,4709
28,590 W. Menomonee,15,41.91468,-87.64332,Larrabee St & Menomonee St,15,5754,5778
29,1016 N. Noble St,15,41.90068,-87.6626,Noble St & Milwaukee Ave,15,7699,8213
30,1611 W. Augusta Blvd,14,41.899643,-87.6677,Ashland Ave & Augusta Blvd,15,5488,5685
31,805 N. Franklin St,22,41.896776,-87.635633,Franklin St & Chicago Ave,23,14743,14808
32,550 S. Racine,19,41.87464,-87.65703,Racine Ave & Congress Pkwy,19,6474,6537
33,360 S State St,27,41.877181,-87.627844,State St & Van Buren St,27,13372,13650
34,2432 N. Cannon Dr.,15,41.926755988,-87.634428785,Cannon Dr & Fullerton Ave,15,8767,8414
35,Navy Pier,47,41.892278,-87.612043,Streeter Dr & Grand Ave,47,106021,97565
36,340 S. Franklin St,39,41.877707956,-87.635321141,Franklin St & Jackson Blvd,39,21136,22217
37,59 W. Adams St,19,41.879356359,-87.629791036,Dearborn St & Adams St,19,15559,14114
38,Clark St & Lake St,26,41.886020828,-87.630876058,Clark St & Lake St,27,15646,16993
39,Wabash Ave & Adams St,23,41.879472352,-87.625688606,Wabash Ave & Adams St,23,11947,11951
40,LaSalle St & Adams St,15,41.879344373,-87.631985221,LaSalle St & Adams St,15,14271,13900
